OBJECTID|Código de la remoción en masa|Región|Tipo de remoción en masa|Tipo de material|Clasificación de remoción en masa|Detonante|Día del evento|Mes de inicio del evento|Año del evento|Estación de ocurrencia del evento|Método de obtención de la información|Fuente de la información|Autor de la fuente|Nota|Enlace de documento asociado|Latitud|Longitud|Precisión de coordenadas
1|RM-1965-01-001|Valparaíso|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Evento Sísmico|28|Marzo|1965|Otoño (del 21-03 al 20-06)| |1965. Efectos del terremoto de marzo de 1965 en los relaves de la Mina El Soldado.|Aliste, N.; Moraga, A. y Pérez, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1965-01.pdf|-32.64314884|-71.17715259|Coordenadas exactas
2|RM-1965-01-002|Valparaíso|Caída|Suelo/Sedimento|Caída de bloque/detrito/arena/limo|Evento Sísmico|28|Marzo|1965|Otoño (del 21-03 al 20-06)|Observado en terreno|1965. Efectos del terremoto de marzo de 1965 en los relaves de la Mina El Soldado.|Aliste, N.; Moraga, A. y Pérez, S.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1965-01.pdf|-32.44426984|-71.10498037|Coordenadas aproximadas al sector
3|RM-1967-01-001|Antofagasta|Deslizamiento|Sin información|Deslizamiento indeterminado|Evento Sísmico|28|Diciembre|1966|Verano (del 21-12 al 20-03)| |1967. Notas preliminares sobre el sismo de Taltal en diciembre de 1966. Informe inédito, Intituto de Investigaciones Geológicas.|Thomas, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1967-01.pdf|-25.26890268|-70.43775693|Coordenadas inexactas ubicadas en la ciudad o comuna
4|RM-1979-01-001|Araucanía|Deslizamiento|Suelo/Sedimento|Deslizamiento indeterminado|Lluvias| |Sin información|0|Sin información| |1979. La geología en el deslizamiento de Puente Malleco. (Instituto de Investigaciones Geológicas)|Emparán, C.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1979-01.pdf|-37.96390202|-72.43738976|Coordenadas exactas
5|RM-1985-01-001|Metropolitana|Flujo|Suelo/Sedimento|Flujo de barro|Lluvias|22|Febrero|1980|Verano (del 21-12 al 20-03)| |1985. Flujos de barro en la zona preandina de la Región Metropolitana: Características, causas, efectos, riesgos y medidas preventivas. Revista geológica de Chile. No.24. 1985.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1985-01.pdf|-33.37050191|-70.46305176|Coordenadas exactas
6|RM-1985-01-002|Metropolitana|Flujo|Suelo/Sedimento|Flujo de barro|Lluvias|20|Mayo|1949|Otoño (del 21-03 al 20-06)| |1985. Flujos de barro en la zona preandina de la Región Metropolitana: Características, causas, efectos, riesgos y medidas preventivas. Revista geológica de Chile. No.24. 1985.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1985-01.pdf|-33.87025411|-69.93091595|Coordenadas aproximadas al sector
7|RM-1991-01-001|Antofagasta|Flujo|Suelo/Sedimento|Flujo de barro|Lluvias|18|Junio|1991|Otoño (del 21-03 al 20-06)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.62649091|-70.36939727|Coordenadas exactas
8|RM-1991-01-002|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.6390681|-70.37381188|Coordenadas exactas
9|RM-1991-01-003|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.65890583|-70.38533306|Coordenadas exactas
10|RM-1991-01-004|Antofagasta|Flujo|Suelo/Sedimento|Flujo indeterminado|Lluvias|18|Marzo|1991|Verano (del 21-12 al 20-03)| |1991. Aluviones que afectaron a la ciudad de Antofagasta, II Region, el dia 18 de junio de 1991.|Hauser, A.| |http://portalgeo.sernageomin.cl/Informes_PDF_Nac/RM-1991-01.pdf|-23.6725689|-70.38943834|Coordenadas exactas
